PLAYER_ID,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
2544,26,-169,200,1,1
2544,26,182,199,1,1
2544,26,117,236,1,0
2544,3,-20,29,1,0
2544,3,28,17,1,0
2544,14,-54,131,1,1
2544,12,20,121,1,1
2544,26,-100,242,1,0
2544,4,35,21,1,0
2544,0,0,-6,1,1
2544,3,25,22,1,1
2544,14,-106,101,1,1
2544,2,21,20,1,1
2544,2,-7,23,1,1
2544,6,53,38,1,0
2544,19,-160,103,1,1
2544,24,-151,197,1,0
2544,25,134,220,1,0
2544,3,-29,11,1,0
2544,12,-123,9,1,0
2544,1,-15,6,1,1
2544,1,-4,16,1,0
2544,1,-14,1,1,1
2544,27,87,266,1,1
2544,2,-18,13,1,0
2544,28,123,258,1,0
2544,23,-231,20,1,0
2544,0,5,2,1,0
2544,26,-8,260,1,1
2544,16,75,147,1,0
2544,1,10,6,1,1
2544,10,47,94,1,0
2544,17,82,154,1,0
2544,23,231,42,1,0
2544,1,-13,11,1,1
2544,8,81,6,1,1
2544,1,3,12,1,0
2544,27,0,273,1,0
2544,1,19,4,1,1
2544,1,9,17,1,1
2544,27,-129,247,1,1
2544,29,-5,290,1,1
2544,26,11,262,1,1
2544,26,14,260,1,0
2544,14,-140,22,1,0
2544,2,16,13,1,1
2544,1,-11,5,1,1
2544,16,81,142,1,0
2544,1,3,11,1,1
2544,1,1,10,1,1
2544,12,-100,75,1,0
2544,0,-4,8,1,0
2544,1,0,13,1,1
2544,25,-97,234,1,0
2544,1,1,15,1,1
2544,25,-211,142,1,1
2544,1,6,13,1,1
2544,12,39,117,1,1
2544,1,-3,11,1,1
2544,27,-116,245,1,1
2544,25,79,238,1,0
2544,35,-51,354,1,1
2544,33,-139,309,1,0
2544,25,218,138,1,0
2544,21,-197,83,1,0
2544,1,6,15,1,1
2544,25,124,221,1,1
2544,25,122,228,1,0
